"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"2335-BR","2335-W","2335-e02f3490a62de019c618","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-7199f6fc046a3d697edb","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-d0e0aa24ec2dda880297","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-1ffd524c5bc1b20f7cec","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-4601f74cfa6fdce33688","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-2a2d02a0e72017b3baac","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-49bafe47e1f771502d05","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-60155d6bb3ec2cd1833f","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-1cb1939bd10ca7ff5798","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-55724492f612c32a3650","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-faa360c6bdda0a26a4e0","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-cf101ffbde93a93bc4c9","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-98d7552265b45376fccc","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-761dd73dd750c15fadff","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-f62c2b449f368d7d56cd","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-391546133baa27b23d42","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-8adff92fbf0db43391aa","KMC Clinic","","","","","",""
"2335-BR","2335-W","2335-26c54857682ea461c8b3","KMC Clinic","","","","","",""
"2335-CR","2335-F","2335-d4fb73302d98d6b40acf","Building 18","","","","","",""
"2335-CR","2335-F","2335-486f42b8ea2981c89112","Building 18","","","","","",""
"2335-CR","2335-F","2335-55b7966afe043905745d","Building 18","","","","","",""
"2335-CR","2335-F","2335-8a2056b2e68b955e95e4","Building 18","","","","","",""
"2335-CR","2335-F","2335-8992666e2a49a5eb7042","Building 18","","","","","",""
"2335-CR","2335-F","2335-0b79a758907ab715c6ce","Building 18","","","","","",""
"2335-CR","2335-F","2335-5ff8dd14d996c0323856","Building 18","","","","","",""
"2335-CR","2335-F","2335-802fdb1cc4b2953dfde8","Building 18","","","","","",""
"2335-CR","2335-F","2335-e7427c869b0869945a1d","Building 18","","","","","",""
"2335-CR","2335-F","2335-8548a5db73db2e6b2f8e","Building 18","","","","","",""
"2335-CR","2335-F","2335-2b3cea279700e99dfdbb","Building 18","","","","","",""
"2335-CR","2335-F","2335-d5f100104b59b1d42879","Building 18","","","","","",""
"2335-CR","2335-F","2335-407a23e4dfcd3614158f","Building 18","","","","","",""
"2335-CR","2335-F","2335-98536775366cf1bc3bbc","Building 18","","","","","",""
"2335-CR","2335-F","2335-cfa6233c37893566e65d","Building 18","","","","","",""
"2335-CR","2335-F","2335-cd29f321161e83e8ae53","Building 18","","","","","",""
"2335-CR","2335-F","2335-1c9802373bfbcb741101","Building 18","","","","","",""
"2335-CR","2335-F","2335-d2332d134226b9c1e682","Building 18","","","","","",""
"2335-CR","2335-F","2335-d0cd820d749f1b48a1a5","Building 18","","","","","",""
"2335-CR","2335-F","2335-24df2d59765bf68871f8","Building 18","","","","","",""
"2335-CR","2335-F","2335-c1d3234b95982441a798","Building 18","","","","","",""
"2335-CR","2335-F","2335-623481d94c7f3dcb6d48","Building 18","","","","","",""
"2335-CR","2335-F","2335-a37ec7240eade5d5e8d0","Building 18","","","","","",""
"2335-CR","2335-F","2335-ed343b8cb31a778d2adf","Building 18","","","","","",""
"2335-CR","2335-F","2335-f80c7b3bcaf0db7a8716","Building 18","","","","","",""
"2335-CR","2335-F","2335-726e59f47cbca1378a13","Building 18","","","","","",""
"2335-CR","2335-F","2335-28d19c97f8ef7f685e79","Building 18","","","","","",""
"2335-CR","2335-F","2335-1405433f961dcfe0e795","Building 18","","","","","",""
"2335-CR","2335-F","2335-255ce2c030e3e12379c4","Building 18","","","","","",""
"2335-CR","2335-F","2335-c2d39a512f32eaef380f","Building 18","","","","","",""
"2335-CR","2335-F","2335-a2a41bd924b65003d066","Building 18","","","","","",""
"2335-CR","2335-F","2335-b93afd42377b307c39c7","Building 18","","","","","",""
"2335-CR","2335-F","2335-d47120ab6111c10d9c34","Building 18","","","","","",""
"2335-CR","2335-F","2335-637e4a7e92648f979b2f","Building 18","","","","","",""
"2335-CR","2335-F","2335-754caa29140d5e614e28","Building 18","","","","","",""
"2335-CR","2335-F","2335-debd056ce116d9be561b","Building 18","","","","","",""
"2335-CR","2335-F","2335-b2ee73a2b835a60d4e07","Building 18","","","","","",""
"2335-CR","2335-F","2335-9e5706e6189522fbd911","Building 18","","","","","",""
"2335-CR","2335-F","2335-f8049fe6056fad5157bd","Building 18","","","","","",""
"2335-CR","2335-F","2335-a0de09e464a5335eefc2","Building 18","","","","","",""
"2335-CR","2335-F","2335-2e079f905c7759afd42b","Building 18","","","","","",""
"2335-CR","2335-F","2335-c514beb3589b6690be08","Building 18","","","","","",""
"2335-CR","2335-F","2335-e2b415549a2415df429b","Building 18","","","","","",""
"2335-CR","2335-F","2335-d3b3986172991b72f9b3","Building 18","","","","","",""
"2335-CR","2335-F","2335-ff8b68741c8057ce4fc9","Building 18","","","","","",""
"2335-CR","2335-F","2335-34834aea4d6b3286d745","Building 18","","","","","",""
"2335-CR","2335-F","2335-dbbaafcb7a6eccf95454","Building 18","","","","","",""
"2335-CR","2335-F","2335-7930192be5a7b88ad5d0","Building 18","","","","","",""
"2335-CR","2335-F","2335-7060e0f5f696c1c243b8","Building 18","","","","","",""
"2335-CR","2335-F","2335-61d1331ce1e742977909","Building 18","","","","","",""
"2335-CR","2335-F","2335-cd5ea10c7ad63a814eed","Building 18","","","","","",""
"2335-CR","2335-F","2335-113ef2516f0d3568d52d","Building 18","","","","","",""
"2335-CR","2335-F","2335-3b96cdeb7f4995c979cc","Building 18","","","","","",""
"2335-CR","2335-F","2335-c7dcc444db221c46a4a1","Building 18","","","","","",""
"2335-CR","2335-F","2335-0bb4f68c20da49b2f006","Building 18","","","","","",""
"2335-CR","2335-F","2335-fd69fda5829ef9c85379","Building 18","","","","","",""
"2335-CR","2335-F","2335-9e2d7bc97c454f6ea6cf","Building 18","","","","","",""
"2335-CR","2335-F","2335-5bf0350827971c477d0d","Building 18","","","","","",""
"2335-CR","2335-F","2335-d4c0570ae84ca8b94383","Building 18","","","","","",""
"2335-CR","2335-F","2335-447be8a4817d20d62a14","Building 18","","","","","",""
"2335-CR","2335-F","2335-d2c5bf080e205c55229a","Building 18","","","","","",""
"2335-CR","2335-F","2335-c909c267b50473e599cf","Building 18","","","","","",""
"2335-CR","2335-F","2335-8f542b547396381fd131","Building 18","","","","","",""
"2335-CR","2335-F","2335-4ce95a72441fadf6dfc1","Building 18","","","","","",""
"2335-CR","2335-F","2335-b365e46f992c9e42c466","Building 18","","","","","",""
"2335-CR","2335-F","2335-d05ac86d4d1b449fee88","Building 18","","","","","",""
"2335-CR","2335-F","2335-cdb873b2548f25ac0ed4","Building 18","","","","","",""
"2335-CR","2335-F","2335-f0ff5ab00a18dc6102f2","Building 18","","","","","",""
"2335-CR","2335-F","2335-94c7b537ddcf85193533","Building 18","","","","","",""
"2335-CR","2335-F","2335-b75603654227fe1122f3","Building 18","","","","","",""
"2335-CR","2335-F","2335-e7b21872cc9458264ec0","Building 18","","","","","",""
"2335-CR","2335-F","2335-8697132a921ba38cc245","Building 18","","","","","",""
"2335-CR","2335-F","2335-13a188854e586d54410f","Building 18","","","","","",""
"2335-FR1","2335-F","2335-5bc63ea8ec161104d685","Cinema","","","","","",""
"2335-FR1","2335-F","2335-e1f38c20a8e139d3cc97","Cinema","","","","","",""
"2335-FR1","2335-F","2335-e42d2ec15c374029511c","Cinema","","","","","",""
"2335-FR1","2335-F","2335-a373152f0f69e6acb77a","Cinema","","","","","",""
"2335-FR1","2335-F","2335-ec3c9f24a6e22ea60907","Cinema","","","","","",""
"2335-FR1","2335-F","2335-251b681b6a23c0a1aac7","Cinema","","","","","",""
"2335-FR1","2335-F","2335-167342e0a68d861abcbf","Cinema","","","","","",""
"2335-FR1","2335-F","2335-5d631a4ecd713095c451","Cinema","","","","","",""
"2335-FR1","2335-F","2335-183abee41aacc432dbb3","Cinema","","","","","",""
"2335-FR1","2335-F","2335-c100272932e3005ccc90","Cinema","","","","","",""
"2335-FR1","2335-F","2335-738c409c3da5bbaf202d","Cinema","","","","","",""
"2335-FR1","2335-W","2335-2cbf6bd837794377271c","Cinema","","","","","",""
"2335-FR1","2335-W","2335-204634462dd2dbbd1b53","Cinema","","","","","",""
"2335-FR1","2335-W","2335-e832e896e12d015bce7a","Cinema","","","","","",""
"2335-FR1","2335-W","2335-54d235813b48b1840415","Cinema","","","","","",""
"2335-FR1","2335-W","2335-44692f3d8c3f1e04e594","Cinema","","","","","",""
"2335-FR1","2335-W","2335-8160dd130da886f8285b","Cinema","","","","","",""
"2335-FR1","2335-W","2335-a8b1ebe469f4abcdd5ed","Cinema","","","","","",""
"2335-FR1","2335-W","2335-58a5d06cf388ac00144a","Cinema","","","","","",""
"2335-FR1","2335-W","2335-605d598280ae5b8c1a24","Cinema","","","","","",""
"2335-FR1","2335-W","2335-54ca341161b5ee8a625c","Cinema","","","","","",""
"2335-FR1","2335-W","2335-d8a8ab6af20b2604f33b","Cinema","","","","","",""
"2335-FR2","2335-F","2335-802043f9437c7ea745c6","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-ef1badf480fd2e5e3bb1","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-7ef019798201fd13ee8b","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-c221402f8ddefc74d039","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-47370ed630c6d1da5d44","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-dac56f0222cdfe699d87","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-a065236d75e132ce2cc5","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-4f1433ea5f076e0cc8ff","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-70ddebfad97d918ee985","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-a68eea9469e1bb1414e9","Water Sports Club","","","","","",""
"2335-FR2","2335-F","2335-ff42da32de51f5579421","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-42bafc00d9d8ba70251e","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-78db19d9bfdcb05ae9f6","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-b397139c30afacf185d7","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-d7db205fa66d24b8606a","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-f212e971878c4cd988ad","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-7e35364170847c67d408","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-f9fe0f7ef78571fd30b6","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-69be9c5c5bb255feb6f6","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-e1b2fd3d9d22a4bebb09","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-4f03acadf684bd8c029e","Water Sports Club","","","","","",""
"2335-FR2","2335-W","2335-8320cab1054a5b3f5c18","Water Sports Club","","","","","",""
"2335-GR","2335-D","2335-3d3686643b3d2280303d","Building 18","","","","","",""
"2335-GR","2335-D","2335-4e363d2cb973717f08de","Building 18","","","","","",""
"2335-GR","2335-D","2335-59b609b1af0299e21488","Building 18","","","","","",""
"2335-GR","2335-D","2335-f475adf2748d4b975ae1","Building 18","","","","","",""
"2335-GR","2335-D","2335-29526a3af2da6b77f74c","Building 18","","","","","",""
"2335-GR","2335-D","2335-79944c63f6f7df3db386","Building 18","","","","","",""
"2335-GR","2335-D","2335-d9e7fbc39935aafae7ff","Building 18","","","","","",""
"2335-GR","2335-D","2335-eaa210fc5f3d69c981be","Building 18","","","","","",""
"2335-GR","2335-D","2335-660491ed1a8ffaf1c3ba","Building 18","","","","","",""
"2335-GR","2335-D","2335-8f9ca0915aafe7431251","Building 18","","","","","",""
"2335-GR","2335-D","2335-0bf10de88c22409b0503","Building 18","","","","","",""
"2335-GR","2335-D","2335-6dde4720cd52f1f00935","Building 18","","","","","",""
"2335-GR","2335-D","2335-847658216d6f188d6c04","Building 18","","","","","",""
"2335-GR","2335-D","2335-e551addd89e17db8d456","Building 18","","","","","",""
"2335-GR","2335-D","2335-733f1bf6bba49987c99c","Building 18","","","","","",""
"2335-GR","2335-D","2335-545120e0de180c2da929","Building 18","","","","","",""
"2335-GR","2335-D","2335-8f76b011aa68bbc2351a","Building 18","","","","","",""
"2335-GR","2335-D","2335-cd1ebda0f3d65e063faf","Building 18","","","","","",""
"2335-GR","2335-D","2335-0132607bf7631525f2ef","Building 18","","","","","",""
"2335-GR","2335-D","2335-8c44598a2be3c378fefe","Building 18","","","","","",""
"2335-GR","2335-D","2335-4ccec4504aefbfc55f76","Building 18","","","","","",""
"2335-GR","2335-D","2335-5ec6e4eceb6205ca7c37","Building 18","","","","","",""
"2335-GR","2335-D","2335-a7dfedd81ffe883d85d7","Building 18","","","","","",""
"2335-GR","2335-D","2335-69a217de8f84d4db4d5e","Building 18","","","","","",""
"2335-GR","2335-D","2335-d28a46452bdf4041d04a","Building 18","","","","","",""
"2335-GR","2335-D","2335-211ae4ffb6e76c0bafa2","G 2237","","","","","",""
"2335-GR","2335-D","2335-8fdcbd1dfe2db6cbcb82","G 2237","","","","","",""
"2335-GR","2335-D","2335-c1bfaaef3f11d59af45b","G 2237","","","","","",""
"2335-GR","2335-D","2335-42e12a93493f68bbde66","G 2237","","","","","",""
"2335-GR","2335-D","2335-9b6a6b6cf85697ff51f5","G 2237","","","","","",""
"2335-GR","2335-D","2335-b5799498102cff780d42","G 2237","","","","","",""
"2335-GR","2335-D","2335-5e32ac43cdaaed3e6261","G 2237","","","","","",""
"2335-GR","2335-D","2335-c068b6e77638daf3bdb5","G 2237","","","","","",""
"2335-GR","2335-D","2335-860943d9ff6ea5e335fb","G 2237","","","","","",""
"2335-GR","2335-D","2335-8395d5a3f7b6c3df4981","G 2237","","","","","",""
"2335-GR","2335-D","2335-05925aa9fc175a714bbc","G 2237","","","","","",""
"2335-GR","2335-D","2335-0a0a382000286c44950f","G 2237","","","","","",""
"2335-GR","2335-D","2335-d087c6949fb8ab1d3f9f","G 2237","","","","","",""
"2335-GR","2335-D","2335-253b87cb0baccc8f0e00","G 2237","","","","","",""
"2335-GR","2335-D","2335-49430537739ccaca13a7","G 2237","","","","","",""
"2335-GR","2335-D","2335-3661ac61d762be3cc23b","G 2237","","","","","",""
"2335-GR","2335-D","2335-673e104d6b66e4205f70","G 2237","","","","","",""
"2335-GR","2335-D","2335-f2c6bc5f29478bf8df03","G 2237","","","","","",""
"2335-GR","2335-W","2335-e714866676b2abbf4986","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-fb61dd1a3cd0afd53d05","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-6086031fab156912cef6","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-2059a6e6664e7e32f379","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-de51424bd8e2d26d2cfa","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-155131269a7fe441c83d","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-4523c130427070674c7b","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-6c2b0486ec2a9e12f02e","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-3228ff68a47b5df06dff","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-63b7054653c69976d405","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-080c3222d44ff71c5dcf","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-c71c0126b9a6222e25ce","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-6bb7d8a7532bb67952cb","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-cddce16533e79e647fc3","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-02358dcc395e5de4d437","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-979e41ca65ba6d345b1d","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-521e39663c632b4b30e3","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-547899e6f93b976cb78a","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-0b7a69a7112023539765","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-1de28f2927ef2722598f","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-851ad7ab2d63ead9d090","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-c1075e6a607c26205365","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-9a5ec7660b6fb6cea02f","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-9b8b98d6e43cf6394145","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-ab1feb9048121ce7cece","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-78e9978ef2aeec002aa0","G 2237","","","","","",""
"2335-GR","2335-W","2335-506aff63dd87fafecd58","G 2237","","","","","",""
"2335-GR","2335-W","2335-13332f3934bbb6a48235","G 2237","","","","","",""
"2335-GR","2335-W","2335-5547c3e511cedec6f469","G 2237","","","","","",""
"2335-GR","2335-W","2335-537e43ca3d465abf1efe","G 2237","","","","","",""
"2335-GR","2335-W","2335-b751ddd6d85ad937c170","G 2237","","","","","",""
"2335-GR","2335-W","2335-877fd341f38c926a5eaf","G 2237","","","","","",""
"2335-GR","2335-W","2335-cb8b97cd102131f36102","G 2237","","","","","",""
"2335-GR","2335-W","2335-1f6361bde88cb69f398e","G 2237","","","","","",""
"2335-GR","2335-W","2335-685aa2f54468e773d1db","G 2237","","","","","",""
"2335-GR","2335-W","2335-bb6bcd08de807d35dc0b","G 2237","","","","","",""
"2335-GR","2335-W","2335-03530f1ab80672652ac6","G 2237","","","","","",""
"2335-GR","2335-W","2335-efeab0983ec0b653e1d5","G 2237","","","","","",""
"2335-GR","2335-W","2335-1efe68ad20f9bc3714b0","G 2237","","","","","",""
"2335-GR","2335-W","2335-29391bf168f934801fc7","G 2237","","","","","",""
"2335-GR","2335-W","2335-6ed25996494fa582a230","G 2237","","","","","",""
"2335-GR","2335-W","2335-a4ea772ba5feffbeb1c6","G 2237","","","","","",""
"2335-GR","2335-W","2335-f0f5f47239041ed50496","G 2237","","","","","",""
"2335-GR","2335-D","2335-223cbc610e20290c1355","Building 18","","","","","",""
"2335-GR","2335-D","2335-e8dfc030893ac3eef83b","Building 18","","","","","",""
"2335-GR","2335-D","2335-5f38aac56d51ce898894","Building 18","","","","","",""
"2335-GR","2335-D","2335-298214329e319fa26e7f","Building 18","","","","","",""
"2335-GR","2335-D","2335-d3ad85480968f1256a51","Building 18","","","","","",""
"2335-GR","2335-D","2335-5484136241a0bc4ba869","Building 18","","","","","",""
"2335-GR","2335-D","2335-ae8912b3527f81d28bd1","Building 18","","","","","",""
"2335-GR","2335-D","2335-6d8ae7c1102a01b1c5d2","Building 18","","","","","",""
"2335-GR","2335-D","2335-4c07e92daaa40a9d23dc","Building 18","","","","","",""
"2335-GR","2335-D","2335-9e40cbd469fd5a2be1df","Building 18","","","","","",""
"2335-GR","2335-D","2335-c815351bc7a373d2c267","Building 18","","","","","",""
"2335-GR","2335-D","2335-5f2caa195d70d5d016ce","Building 18","","","","","",""
"2335-GR","2335-D","2335-c8475a8f3d249b6d94f7","Building 18","","","","","",""
"2335-GR","2335-D","2335-c2ef0e48fd34b5681908","Building 18","","","","","",""
"2335-GR","2335-D","2335-f5b7e15c1ff5175374ea","Building 18","","","","","",""
"2335-GR","2335-D","2335-a9e4763b538830e1fc99","Building 18","","","","","",""
"2335-GR","2335-D","2335-83dca393afdc5dbe0384","Building 18","","","","","",""
"2335-GR","2335-D","2335-ed755134ce2da7120e16","Building 18","","","","","",""
"2335-GR","2335-D","2335-bb05a7cff0694c1ee20d","Building 18","","","","","",""
"2335-GR","2335-D","2335-258fcc6cf615ac0ccf13","Building 18","","","","","",""
"2335-GR","2335-D","2335-e0cf7370eca798167f7c","Building 18","","","","","",""
"2335-GR","2335-D","2335-119f5a555b1e1ea9dddd","Building 18","","","","","",""
"2335-GR","2335-D","2335-ba4f0d4bf6861550faa2","Building 18","","","","","",""
"2335-GR","2335-D","2335-c3a862f06391496c918d","Building 18","","","","","",""
"2335-GR","2335-W","2335-66d48ea918afceb66c84","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-fb3495b1c2f395d44209","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-f1a96b60f6eff495e0fc","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-cfaea0d216c4c8ad996a","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-3145a377e540be6952d4","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-682b8d4682f99fd6f72b","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-118c428f7075680d2f59","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-cbdbcf39a0640d46601f","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-bbb2b7203d49c3b6379d","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-50bbc7dc1d450fdfb8b5","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-d9a1f56decf0fb680ca3","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-6f8ff2c6dc169fbdb2c4","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-958dd10c43c8f979f97c","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-31b557f6cef9caadf39e","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-efc8f9930fbee989bc34","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-db848a6177e0e715cd56","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-d48ffb8abef8caf89d2d","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-f43286431aa52fb9ab27","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-74b28b3a66e94717bb50","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-6cb585c184eb21febab4","KMC Clinic","","","","","",""
"2335-GR","2335-W","2335-8f947b4dcc2f166be044","KMC Clinic","","","","","",""
